STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Kevin Durant
(OKL)",Remove,F,25,7,81,38.5,32,7.4,5.5,0.7,1.3,0.55,0.39,0.87,0.7,6.7,3.5,2.2,93,43.4,1.13
"Kevin Love
(CLE)",Remove,FC,26,6,77,36.3,26.1,12.5,4.5,0.5,0.8,0.5,0.38,0.82,2.9,9.6,2.5,6,96,41.8,1.15
"LeBron James
(CLE)",Remove,F,29,11,77,37.7,27.1,6.9,6.3,0.3,1.6,0.62,0.38,0.75,1.1,5.9,3.5,3.8,93,38.8,1.03
"Carmelo Anthony *
(NYK)",Remove,F,30,11,77,38.7,27.4,8.1,3.1,0.7,1.2,0.47,0.4,0.85,1.9,6.2,2.6,10.5,96,37.9,0.98
"LaMarcus Aldridge
(POR)",Remove,FC,29,8,69,36.2,23.2,11.1,2.6,1,0.9,0.46,0.2,0.82,2.4,8.7,1.8,7.5,96,37.1,1.03
"DeMarcus Cousins
(SAC)",Remove,C,24,4,71,32.4,22.7,11.7,2.9,1.3,1.5,0.5,0,0.73,3.1,8.6,3.5,8.3,93,36.6,1.13
"Blake Griffin
(LAC)",Remove,F,25,4,80,35.8,24.1,9.5,3.8,0.6,1.1,0.54,0.27,0.72,2.4,7.1,2.8,9,89,36.4,1.02
"Al Jefferson
(CHA)",Remove,C,29,10,73,35.1,21.8,10.8,2.1,1.1,0.9,0.51,0.2,0.69,2.1,8.7,1.7,13,93,35.1,1
"Stephen Curry
(GSW)",Remove,G,26,5,78,36.4,24,4.3,8.5,0.2,1.7,0.51,0.42,0.89,0.6,3.7,3.8,8.7,93,34.9,0.96
"Anthony Davis *
(NOR)",Remove,FC,21,2,67,35.2,20.8,10,1.6,2.8,1.3,0.52,0.22,0.79,3.1,7,1.6,5.5,93,34.9,0.99
"James Harden
(HOU)",Remove,G,25,5,73,38.1,25.4,4.7,6.1,0.4,1.6,0.52,0.37,0.87,0.8,3.9,3.6,10.2,89,34.5,0.91
