FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
MAC,"LeBron James
(CLE)",Add,F,29,11,76,37.9,26.8,8,7.2,0.9,1.7,0.6,0.41,0.75,1.3,6.8,3,4,94,55.6,1.47
CAM,"Kevin Durant
(OKL)",Add,F,25,7,81,38.4,28.2,7.8,4.6,1.3,1.4,0.54,0.41,0.91,0.5,7.3,3.4,2.1,94,53.6,1.39
VIC,"Carmelo Anthony *
(NYK)",Add,F,30,11,67,37,28.7,6.9,2.6,0.5,0.8,0.48,0.38,0.83,2,4.9,2.6,10,95,51.3,1.39
VIS,"Kobe Bryant *
(LAL)",Add,GF,36,18,78,38.7,27.3,5.6,6,0.3,1.4,0.51,0.32,0.84,0.8,4.7,3.7,36.2,88,51.1,1.32
SAN,"Russell Westbrook
(OKL)",Add,G,25,6,82,34.8,23.2,5.2,7.5,0.3,1.8,0.47,0.33,0.8,1.3,3.9,3.3,11.7,90,48,1.38
PN,"James Harden
(HOU)",Add,G,25,5,78,38.1,25.7,4.9,5.7,0.5,1.8,0.47,0.37,0.85,0.8,4.1,3.8,10.6,90,47.7,1.25
ST.,"Kevin Love
(CLE)",Add,FC,26,6,18,34.4,18.3,14,2.3,0.5,0.7,0.41,0.22,0.7,3.6,10.4,2.2,5.9,95,45.8,1.33
MAC,"Stephen Curry
(GSW)",Add,G,26,5,78,38.3,22.9,4,6.9,0.2,1.6,0.45,0.45,0.9,0.8,3.3,3.1,9,94,44.7,1.17
BEL,"LaMarcus Aldridge
(POR)",Add,FC,29,8,74,37.7,21.1,9.1,2.6,1.2,0.8,0.49,0.14,0.81,2.4,6.7,1.9,7.3,95,43.4,1.15
CEN,"Dwyane Wade
(MIA)",Add,G,32,11,69,34.6,21.2,5,5.1,0.8,1.9,0.54,0.26,0.72,1.2,3.7,2.8,35.9,94,42.5,1.23
CEN,"Kyrie Irving
(CLE)",Add,G,22,3,59,34.7,22.5,3.7,5.9,0.4,1.5,0.47,0.39,0.86,0.6,3.1,3.2,24.3,94,42.1,1.21
PA�,"Tim Duncan
(SAS)",Add,FC,38,17,69,30.1,17.8,9.9,2.7,2.6,0.7,0.5,0.29,0.82,1.8,8.1,2.1,32.8,94,41.7,1.38
SAN,"Josh Smith
(DET)",Add,F,28,10,76,35.3,17.5,8.4,4.2,1.8,1.2,0.5,0.3,0.52,1.8,6.7,3,54.3,90,40.6,1.15
IP�,"Monta Ellis
(DAL)",Add,G,28,9,82,37.5,19.2,3.9,6,0.4,2.1,0.45,0.29,0.77,0.5,3.3,3.1,50.8,88,40.4,1.08
GOO,"Chris Paul
(LAC)",Add,G,29,9,70,33.4,16.9,3.7,9.7,0.1,2.4,0.54,0.33,0.89,0.8,3,2.3,9,94,40.1,1.2
VAL,"Al Horford *
(ATL)",Add,FC,28,7,74,37.3,17.4,10.2,3.2,1.1,1.1,0.54,0.5,0.64,2.6,7.6,2,24.3,94,39.8,1.07
VAL,"David Lee
(GSW)",Add,F,31,9,79,36.8,18.5,11.2,3.5,0.3,0.8,0.52,0,0.8,2.7,8.5,2.6,35.3,94,39.7,1.08
GOO,"Tony Parker
(SAS)",Add,G,32,13,66,32.9,20.3,3,7.6,0.1,0.8,0.53,0.35,0.85,0.3,2.7,2.6,50.3,88,39.7,1.21
THU,"Al Jefferson
(CHA)",Add,C,29,10,78,33.1,17.8,9.2,2.1,1.1,1,0.5,0.12,0.77,2,7.2,1.3,13.3,94,39.4,1.19
,"Anderson Varejao
(CLE)",Add,C,31,10,25,36,14.1,14.4,3.4,0.6,1.5,0.49,0,0.75,5.5,8.9,1.8,85.1,76,38.9,1.08
,"Jrue Holiday *
(NOR)",Add,G,24,5,78,37.5,17.7,4.2,8,0.4,1.6,0.45,0.37,0.75,1.1,3.1,3.7,59.5,90,38.9,1.04
SPR,"Paul George *
(IND)",Add,GF,24,4,80,37.7,17.5,7.7,4.3,0.6,1.8,0.46,0.36,0.82,1.1,6.6,3,129.3,57,38.7,1.03
IP�,"John Wall
(WAS)",Add,G,24,4,49,32.7,18.5,4,7.6,0.8,1.3,0.45,0.27,0.8,0.7,3.3,3.2,17.3,94,38.7,1.18
FSA,"Dwight Howard
(HOU)",Add,C,28,10,76,35.8,17.1,12.4,1.4,2.4,1.1,0.58,0.17,0.49,3.3,9.1,3,11.3,90,38.3,1.07
VIC,"Deron Williams *
(BKL)",Add,G,30,9,78,36.4,18.9,3,7.7,0.4,1,0.48,0.38,0.86,0.4,2.6,2.8,65.6,76,38,1.04
VI�,"Brook Lopez *
(BKL)",Add,C,26,6,74,30.5,19.4,6.9,0.9,2.1,0.4,0.52,0,0.76,2.8,4.1,1.8,35.2,94,37.9,1.24
ILH,"Blake Griffin
(LAC)",Add,F,25,4,80,32.5,18,8.3,3.7,0.6,1.2,0.55,0.18,0.66,2.3,6,2.3,8.9,90,37.8,1.16
,"Paul Pierce
(WAS)",Add,F,36,16,78,33.5,18.6,6.3,4.8,0.4,1.1,0.47,0.38,0.79,0.6,5.7,2.8,102.8,71,37.5,1.12
NY,"Rudy Gay
(SAC)",Add,F,28,8,75,35.8,18.2,6.1,2.7,0.7,1.5,0.44,0.32,0.81,1.3,4.8,2.6,45.7,87,37.4,1.04
VAL,"Damian Lillard
(POR)",Add,G,24,2,82,38.6,19.1,3.1,6.5,0.2,0.9,0.47,0.37,0.84,0.5,2.6,3,23.2,94,37.2,0.96
NEG,"Kemba Walker
(CHA)",Add,G,24,3,82,34.7,17.7,3.5,5.7,0.4,1.9,0.46,0.32,0.8,0.7,2.7,2.4,45.4,90,36.9,1.06
CAM,"Brandon Jennings
(DET)",Add,G,24,5,80,36.2,17.5,3.1,6.5,0.1,1.6,0.41,0.37,0.82,0.7,2.3,2.5,63.2,82,36.9,1.02
ST.,"David West
(IND)",Add,F,34,11,74,33.4,17.1,7.7,2.9,0.9,1,0.5,0.21,0.77,2,5.7,2.2,64.5,88,36.3,1.09
BJ,"Rajon Rondo
(BOS)",Add,G,28,8,38,37.4,13.7,5.6,11,0.2,1.8,0.51,0.24,0.65,1.1,4.4,3.9,40.1,90,36.2,0.97
IPA,"DeMarcus Cousins
(SAC)",Add,C,24,4,75,30.5,17.1,10,2.7,0.7,1.4,0.47,0.17,0.74,3,7,3,8.8,94,36.2,1.19
GOO,"Greg Monroe
(DET)",Add,FC,24,4,81,33.2,16,9.6,3.5,0.7,1.3,0.49,0,0.69,2.9,6.7,2.9,37.6,88,36.1,1.09
,"JR Smith
(NYK)",Add,G,29,10,80,33.5,18.1,5.3,2.7,0.3,1.2,0.46,0.36,0.76,0.8,4.5,1.7,106.3,61,35.8,1.07
BJ,"Zach Randolph
(MEM)",Add,F,33,13,76,34.2,15.4,11.2,1.4,0.4,0.8,0.47,0.09,0.75,4.1,7.2,2,37.5,90,35.6,1.04
,"Luol Deng
(MIA)",Add,F,29,10,75,38.7,16.5,6.3,3,0.4,1.1,0.45,0.32,0.82,2.2,4.2,1.9,65.8,83,35.6,0.92
THU,"Dirk Nowitzki
(DAL)",Add,F,36,16,53,31.4,17.3,6.8,2.5,0.7,0.7,0.49,0.41,0.86,0.7,6.2,1.3,22.6,95,35.5,1.13
ENG,"Carlos Boozer
(LAL)",Add,F,32,12,79,32.3,16.2,9.8,2.3,0.4,0.8,0.48,0,0.73,2.2,7.5,2.2,80.9,87,34.7,1.08
IPA,"Ty Lawson
(DEN)",Add,G,26,5,73,34.4,16.7,2.7,6.8,0.1,1.5,0.49,0.37,0.76,0.5,2.2,2.5,39.8,90,34.7,1.01
SIX,"Joakim Noah *
(CHI)",Add,C,29,7,66,36.7,11.9,11.1,4,2.1,1.2,0.48,0,0.75,3.9,7.2,2.7,22.6,95,33.9,0.92
ENG,"Pau Gasol *
(CHI)",Add,FC,34,13,49,33.8,13.7,8.6,4.1,1.2,0.5,0.48,0.29,0.7,2.3,6.3,2.1,24.5,94,33.7,1
NEG,"Chris Bosh
(MIA)",Add,FC,30,11,74,33.2,16.6,6.8,1.7,1.4,0.9,0.56,0.28,0.8,1.8,5,1.7,28.3,87,33.7,1.01
ENG,"Marc Gasol
(MEM)",Add,C,29,6,80,35,14.1,7.8,4,1.7,1,0.5,0.07,0.85,2.3,5.5,2,33.9,95,33.1,0.95
ILH,"Nicolas Batum
(POR)",Add,GF,25,6,73,38.4,14.3,5.6,4.9,1.1,1.2,0.48,0.37,0.85,1.3,4.3,2.6,47.9,88,33,0.86
SAN,"Nikola Pekovic
(MIN)",Add,C,28,4,62,31.6,16.3,8.8,0.9,0.8,0.7,0.52,0,0.74,3.7,5.1,1.6,43.6,90,33,1.04
VI�,"DeMar DeRozan
(TOR)",Add,GF,25,5,82,36.7,18.1,3.9,2.5,0.3,0.9,0.46,0.28,0.83,0.6,3.3,1.8,28.7,94,32.8,0.89
,"Danilo Gallinari *
(DEN)",Add,F,26,6,71,32.5,16.2,5.2,2.5,0.5,0.9,0.45,0.37,0.82,0.9,4.3,1.6,99.1,52,32.6,1
